experiment_id,round,global_accuracy,global_loss,mean_train_loss,mean_drift,max_drift,client_0_local_on_test_accuracy,client_0_local_on_test_loss,client_1_local_on_test_accuracy,client_1_local_on_test_loss,client_2_local_on_test_accuracy,client_2_local_on_test_loss,client_0_drift_diagnostic,client_1_drift_diagnostic,client_2_drift_diagnostic,alpha,mu,seed,strategy,straggler_fraction
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,1,0.3495145631067961,2.3213625741236417,0.5137330616688282,1300.5655797139088,1354.8337287552597,0.3106796116504854,2.882259614259294,0.3689320388349514,2.733989405400545,0.3300970873786408,2.817950734814394,0.4583333333333333,0.5685279187817259,0.4583333333333333,0.3,0.0,42,fedavg,0.0
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,2,0.3786407766990291,2.194287101041924,0.3261364010901721,402.5061442115168,564.092615177881,0.3786407766990291,2.548868549680247,0.4174757281553398,2.7525808047322395,0.3980582524271844,2.333063945029546,0.4895833333333333,0.7969543147208121,0.5916666666666667,0.3,0.0,42,fedavg,0.0
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,3,0.4271844660194174,1.9886141494639868,0.2474749034317919,407.2670569309048,568.4994955249063,0.3592233009708738,3.313651226099255,0.4174757281553398,2.622555910962299,0.4563106796116505,2.2796177239093964,0.6354166666666666,0.8730964467005076,0.7,0.3,0.0,42,fedavg,0.0
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,4,0.4077669902912621,2.07371942742357,0.2099236391755257,404.5148287785671,556.4708799321039,0.4174757281553398,2.7860394959310884,0.3883495145631068,2.6155940791935595,0.5048543689320388,2.15051531097264,0.65625,0.9289340101522844,0.7583333333333333,0.3,0.0,42,fedavg,0.0
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,5,0.4563106796116505,2.1116330785658755,0.1770937125436495,410.90430169282513,568.2571155900065,0.3786407766990291,2.721053473000388,0.4077669902912621,2.9967832565307617,0.5048543689320388,2.1173957158060905,0.53125,0.9593908629441624,0.7916666666666666,0.3,0.0,42,fedavg,0.0
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,6,0.4660194174757281,2.183577366245604,0.0924648730552325,415.6595919264578,571.9315327000097,0.4368932038834951,2.879583113401839,0.4174757281553398,3.201091183042063,0.4368932038834951,2.4698315268581355,0.5833333333333334,0.9593908629441624,0.8333333333333334,0.3,0.0,42,fedavg,0.0
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,7,0.4757281553398058,2.005720300581849,0.0835615834571474,413.98580114728094,555.0973831626293,0.4271844660194174,2.903030867715484,0.4854368932038835,2.78888921367312,0.4174757281553398,2.3634413168268296,0.5833333333333334,0.9593908629441624,0.825,0.3,0.0,42,fedavg,0.0
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,8,0.5145631067961165,2.2095862314539048,0.0862834257313556,410.4935076244633,571.1388933555022,0.4077669902912621,3.294095192140746,0.4466019417475728,3.236053656605841,0.4271844660194174,2.329996935372214,0.5729166666666666,0.9898477157360406,0.7916666666666666,0.3,0.0,42,fedavg,0.0
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,9,0.4951456310679611,2.0219060078407955,0.0709583569483059,417.2938871214256,556.7084641253169,0.4174757281553398,3.7245145260709,0.4660194174757281,2.8944610438300566,0.4271844660194174,2.7687646578816536,0.71875,0.9746192893401016,0.9083333333333332,0.3,0.0,42,fedavg,0.0
alpha0.3_mu0.0_seed42_fedavg_straggler0.0,10,0.4466019417475728,2.0717271369637795,0.068790770506714,419.4516856218867,571.3965833555976,0.4174757281553398,2.9170235198678323,0.4951456310679611,2.920939019582804,0.3689320388349514,2.533109611677892,0.7291666666666666,0.9796954314720812,0.875,0.3,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0,1,0.3495145631067961,2.37170500431246,0.8263384968919683,1104.7635930168155,1408.6018423124704,0.3300970873786408,3.0718125880343243,0.3980582524271844,3.1696472954981534,0.203883495145631,3.363653328812238,0.3924050632911392,0.5860655737704918,0.6363636363636364,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0,2,0.3398058252427184,2.1335783444562004,0.4545297887973047,438.654165878291,698.1677342312818,0.3592233009708738,3.2108652568557887,0.3883495145631068,2.7650363885083244,0.3398058252427184,2.3057333983263923,0.4113924050632911,0.7991803278688525,0.3636363636363636,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0,3,0.3883495145631068,2.2055854195529974,0.3644524994118979,425.26394877466527,686.4861242312958,0.3689320388349514,2.833483455250564,0.4077669902912621,2.970851372746588,0.3980582524271844,2.2025602303662346,0.4620253164556962,0.9344262295081968,0.4545454545454545,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0,4,0.3786407766990291,2.11826304787571,0.1543646949162468,442.7488858865254,682.4250084590782,0.3106796116504854,3.4668619748458123,0.3786407766990291,3.182677884703701,0.3980582524271844,2.1553930495549176,0.4936708860759494,0.9016393442622952,0.6363636363636364,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0,5,0.3689320388349514,2.3529214882156224,0.2471094802523799,440.03065052357823,687.6985725973643,0.3300970873786408,3.904575259940138,0.4174757281553398,3.370687213916223,0.4077669902912621,2.213445580121383,0.4746835443037974,0.9631147540983608,0.6363636363636364,0.1,0.0,42,fedavg,0.0
