experiment_id,round,global_accuracy,global_loss,mean_train_loss,mean_drift,max_drift,client_0_local_on_test_accuracy,client_0_local_on_test_loss,client_1_local_on_test_accuracy,client_1_local_on_test_loss,client_2_local_on_test_accuracy,client_2_local_on_test_loss,client_0_drift_diagnostic,client_1_drift_diagnostic,client_2_drift_diagnostic,alpha,mu,seed,strategy,straggler_fraction
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,1,0.34951456310679613,1.9329428603348222,0.23010108769078821,3799.2155763215337,4571.710548102029,0.5242718446601942,2.0554753391488085,0.34951456310679613,4.558395496849875,0.39805825242718446,3.2669332652416045,0.3200531208499336,0.7567084078711985,0.92152466367713,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,2,0.4077669902912621,1.9016811801391897,0.10974058692347888,3597.5342736146013,4421.900418693999,0.5533980582524272,1.7065784005285467,0.3300970873786408,4.798406087079094,0.4563106796116505,3.014875104126421,0.27689243027888444,0.8634466308884914,0.922645739910314,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,3,0.4368932038834951,1.5110565018885345,0.08546512502133409,3595.5402533134693,4421.118540199205,0.49514563106796117,1.949821678180139,0.23300970873786409,4.179222389332299,0.4174757281553398,2.3395075913771843,0.40836653386454186,0.8753726893261777,0.9349775784753364,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,4,0.46601941747572817,1.4799908561613953,0.05229068284967681,3596.874569298434,4418.742503570879,0.44660194174757284,2.3616164841698213,0.2912621359223301,4.345449044866469,0.4854368932038835,3.4116799183262203,0.40239043824701193,0.8992248062015504,0.952914798206278,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,5,0.5242718446601942,1.5809546697486951,0.1280509616001617,3595.310149331359,4421.620303578445,0.49514563106796117,2.6566090954160226,0.3883495145631068,4.592930768300029,0.47572815533980584,3.4365989166556052,0.4209827357237716,0.9147286821705426,0.9596412556053812,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,6,0.5533980582524272,1.8358136473350155,0.04004340310064856,3598.938848473985,4418.643233806801,0.5339805825242718,2.6790781507214296,0.4077669902912621,4.252708879489343,0.4854368932038835,3.3449683814372833,0.48738379814077026,0.9141323792486583,0.9596412556053812,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,7,0.46601941747572817,1.6983563923141332,0.026262375724887443,3596.3039676619787,4422.049132591111,0.47572815533980584,2.7438661218846887,0.3883495145631068,5.153578883235895,0.46601941747572817,2.983730466620436,0.3950863213811421,0.9654144305307096,0.9506726457399103,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,8,0.4563106796116505,1.8664935723091791,0.02140949348847755,3594.3608616251126,4421.135450594902,0.44660194174757284,2.4667666305616063,0.3883495145631068,5.3982335109155155,0.47572815533980584,3.5920077967412265,0.39176626826029215,0.9761478831246273,0.952914798206278,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,9,0.4854368932038835,1.8481259369155736,0.027403671343536416,3593.309081735985,4418.455373740578,0.44660194174757284,3.566317613842418,0.42718446601941745,4.993046029100141,0.4854368932038835,4.141538738047035,0.43824701195219123,0.960644007155635,0.9596412556053812,0.1,0.0,42,fedavg,0.0
alpha0.1_mu0.0_seed42_fedavg_straggler0.0_combined,10,0.47572815533980584,1.84465779262839,0.02280855702006829,3594.9141435550555,4424.906785600543,0.5631067961165048,2.349720156308517,0.3592233009708738,5.019209241404117,0.4563106796116505,5.094360624702231,0.40969455511288183,0.9487179487179487,0.9786995515695067,0.1,0.0,42,fedavg,0.0
